lang;filename;i;user_time;system_time;cpu;clock_time;size_1;size_2;size_3;size_4;max_set_size;avg_set_size;major_page_faults;minor_page_faults;context_switches_1;context_switches_2;swaps;fs_inputs;fs_outputs;socket_sent;socket_received;signals;page_size;exit_status
o;art-optimal;1;0.13;0.01;98;0:00.16;0;0;0;0;1468;0;0;245;1;6;0;0;2424;0;0;0;4096;0
o;art-optimal;2;0.13;0.02;95;0:00.16;0;0;0;0;1468;0;0;244;2;3;0;0;2424;0;0;0;4096;0
o;art-optimal;3;0.10;0.05;95;0:00.16;0;0;0;0;1340;0;0;241;2;10;0;0;2424;0;0;0;4096;0
o;art-optimal;4;0.10;0.02;96;0:00.14;0;0;0;0;1380;0;0;243;2;3;0;0;2424;0;0;0;4096;0
o;art-optimal;5;0.14;0.01;95;0:00.16;0;0;0;0;1412;0;0;243;2;7;0;0;2424;0;0;0;4096;0
o;art-optimal;6;0.13;0.01;97;0:00.16;0;0;0;0;1468;0;0;243;2;7;0;0;2424;0;0;0;4096;0
o;art-optimal;7;0.11;0.01;97;0:00.13;0;0;0;0;1412;0;0;247;2;3;0;0;2424;0;0;0;4096;0
o;art-optimal;8;0.10;0.02;97;0:00.13;0;0;0;0;1468;0;0;244;2;3;0;0;2424;0;0;0;4096;0
o;art-optimal;9;0.11;0.04;95;0:00.16;0;0;0;0;1468;0;0;245;2;10;0;0;2424;0;0;0;4096;0
o;art-optimal;10;0.13;0.02;97;0:00.16;0;0;0;0;1392;0;0;243;2;7;0;0;2424;0;0;0;4096;0
class;ArtOptimal;1;1.58;0.09;98;0:01.70;0;0;0;0;35228;0;8;5987;117;159;0;0;2488;0;0;0;4096;0
class;ArtOptimal;2;1.54;0.09;98;0:01.67;0;0;0;0;35372;0;8;6012;114;162;0;0;2488;0;0;0;4096;0
class;ArtOptimal;3;1.60;0.09;99;0:01.70;0;0;0;0;35460;0;8;5992;118;160;0;0;2488;0;0;0;4096;0
