lang;filename;i;user_time;system_time;cpu;clock_time;size_1;size_2;size_3;size_4;max_set_size;avg_set_size;major_page_faults;minor_page_faults;context_switches_1;context_switches_2;swaps;fs_inputs;fs_outputs;socket_sent;socket_received;signals;page_size;exit_status
js;art-optimal;1;4.30;0.11;99;0:04.41;0;0;0;0;45228;0;0;7619;376;435;0;0;96;0;0;0;4096;0
js;art-optimal;2;4.22;0.16;99;0:04.40;0;0;0;0;45324;0;0;7627;378;450;0;0;96;0;0;0;4096;0
js;art-optimal;3;4.34;0.09;99;0:04.43;0;0;0;0;44752;0;0;7699;376;440;0;0;96;0;0;0;4096;0
js;art-optimal;4;4.39;0.06;99;0:04.45;0;0;0;0;44900;0;0;7665;374;445;0;0;96;0;0;0;4096;0
js;art-optimal;5;4.25;0.10;99;0:04.36;0;0;0;0;44940;0;0;7616;374;434;0;0;96;0;0;0;4096;0
js;art-optimal;6;4.35;0.10;99;0:04.46;0;0;0;0;44808;0;0;7662;389;460;0;0;96;0;0;0;4096;0
js;art-optimal;7;4.35;0.07;99;0:04.42;0;0;0;0;45132;0;0;7631;371;429;0;0;96;0;0;0;4096;0
js;art-optimal;8;4.29;0.08;99;0:04.39;0;0;0;0;45020;0;0;7629;375;438;0;0;96;0;0;0;4096;0
js;art-optimal;9;4.30;0.10;99;0:04.40;0;0;0;0;45028;0;0;7630;371;438;0;0;96;0;0;0;4096;0
js;art-optimal;10;4.33;0.10;99;0:04.44;0;0;0;0;45084;0;0;7651;376;439;0;0;96;0;0;0;4096;0
