lang;filename;i;task_clock_1;task_clock_2;context_switches_1;context_switches_2;cpu_migrations_1;cpu_migrations_2;page_faults_1;page_faults_2;cycles_1;cycles_2;instructions_1;instructions_2;branches_1;branches_2;branch_misses_1;branch_misses_2;L1_dcache_loads_1;L1_dcache_loads_2;L1_dcache_load_misses_1;L1_dcache_load_misses_2;LLC_loads_1;LLC_loads_2;LLC_load_misses_1;LLC_load_misses_2;time
js;art-optimal;1;4382.456940;0.999;826;0.188;0;0.000;7671;0.002;6119357927;1.396;5075717745;0.83;522914166;119.320;42124505;8.06;1673662826;381.901;8528929;0.51;43553576;9.938;4847106;11.13;4.387342450
js;art-optimal;2;4414.156885;0.999;823;0.186;0;0.000;7634;0.002;6163451109;1.396;5061556452;0.82;524518446;118.826;45763305;8.72;1680646598;380.740;8449958;0.50;43536898;9.863;4709277;10.82;4.418107927
js;art-optimal;3;4365.531727;0.999;817;0.187;0;0.000;7584;0.002;6095677808;1.396;5024979968;0.82;520293646;119.182;42106017;8.09;1671183645;382.813;8513783;0.51;41623360;9.535;4605325;11.06;4.369514209
js;art-optimal;4;4415.086364;0.999;811;0.184;0;0.000;7634;0.002;6164382069;1.396;5056055234;0.82;523855496;118.651;44993372;8.59;1685554559;381.772;8860290;0.53;42828226;9.700;4816329;11.25;4.419887319
js;art-optimal;5;4399.567931;0.999;818;0.186;0;0.000;7619;0.002;6143020145;1.396;5052432541;0.82;522351484;118.728;42671544;8.17;1683037878;382.546;9035689;0.54;43258899;9.833;4859581;11.23;4.404683320
js;art-optimal;6;4407.573086;0.999;825;0.187;0;0.000;7635;0.002;6131126439;1.391;5049391678;0.82;521707727;118.366;42902536;8.22;1678200786;380.754;8689788;0.52;43080530;9.774;4923407;11.43;4.413514024
js;art-optimal;7;4403.080694;0.999;817;0.186;0;0.000;7620;0.002;6142885026;1.395;5082320016;0.83;521367465;118.410;43626914;8.37;1680472058;381.658;8696652;0.52;44159370;10.029;4935353;11.18;4.409269668
js;art-optimal;8;4385.300432;0.998;828;0.189;0;0.000;7603;0.002;6115695629;1.395;5037807315;0.82;522124609;119.062;42899485;8.22;1668609583;380.501;8563401;0.51;42891489;9.781;4918261;11.47;4.392053794
js;art-optimal;9;4396.636004;0.999;813;0.185;0;0.000;7590;0.002;6121207372;1.392;5025924076;0.82;521374742;118.585;43416624;8.33;1670246894;379.892;8895927;0.53;42236529;9.607;4823546;11.42;4.402505892
js;art-optimal;10;4442.567250;0.999;832;0.187;0;0.000;7872;0.002;6202780585;1.396;5107975474;0.82;530190499;119.343;42282094;7.97;1706482670;384.121;8987009;0.53;42538404;9.575;4719022;11.09;4.448015417
