lang;filename;i;task_clock_1;task_clock_2;context_switches_1;context_switches_2;cpu_migrations_1;cpu_migrations_2;page_faults_1;page_faults_2;cycles_1;cycles_2;instructions_1;instructions_2;branches_1;branches_2;branch_misses_1;branch_misses_2;L1_dcache_loads_1;L1_dcache_loads_2;L1_dcache_load_misses_1;L1_dcache_load_misses_2;LLC_loads_1;LLC_loads_2;LLC_load_misses_1;LLC_load_misses_2;time
o;art-optimal-origin;1;46390.145142;0.999;204;0.004;0;0.000;2560;0.055;64777058828;1.396;50965026806;0.79;6135854188;132.266;44890953;0.73;22328758864;481.325;17290675;0.08;938980864;20.241;468364607;49.88;46.415995909
o;art-optimal-origin;2;46484.868372;0.999;197;0.004;0;0.000;2557;0.055;64901036207;1.396;50955634047;0.79;6135033867;131.979;44898595;0.73;22331518803;480.404;18121066;0.08;938460597;20.189;468271311;49.90;46.516891304
o;art-optimal-origin;3;46391.041702;0.999;314;0.007;0;0.000;2555;0.055;64727896083;1.395;50991792048;0.79;6136191334;132.271;44978698;0.73;22333246647;481.413;17062245;0.08;938832474;20.237;468137737;49.86;46.457467892
o;art-optimal-origin;4;46520.327858;0.999;255;0.005;0;0.000;2557;0.055;64953889091;1.396;50969933322;0.78;6134992069;131.878;44906687;0.73;22323203480;479.859;18601318;0.08;939269772;20.191;469114798;49.94;46.572479096
o;art-optimal-origin;5;46525.445147;0.998;301;0.006;0;0.000;2556;0.055;64962081841;1.396;50984381399;0.78;6139577986;131.962;44906587;0.73;22327604149;479.901;18628880;0.08;939159752;20.186;468631187;49.90;46.598750821
o;art-optimal-origin;6;46405.737117;0.999;261;0.006;0;0.000;2556;0.055;64794120418;1.396;50991364240;0.79;6133262967;132.166;44917197;0.73;22336493824;481.330;17542600;0.08;938437256;20.222;468936012;49.97;46.461926789
o;art-optimal-origin;7;46300.232396;0.998;309;0.007;0;0.000;2558;0.055;64651946550;1.396;50961484436;0.79;6131395230;132.427;44917905;0.73;22337126563;482.441;16470653;0.07;938457489;20.269;468794533;49.95;46.377655812
o;art-optimal-origin;8;46405.901810;1.000;164;0.004;0;0.000;2558;0.055;64795314982;1.396;50970324065;0.79;6135196831;132.207;44850935;0.73;22326122316;481.105;17466691;0.08;938682292;20.228;468671064;49.93;46.419974699
o;art-optimal-origin;9;46437.201172;0.999;240;0.005;0;0.000;2557;0.055;64826283645;1.396;50955025196;0.79;6133732606;132.087;44861826;0.73;22340792659;481.097;17630239;0.08;939028062;20.221;468456576;49.89;46.480201416
o;art-optimal-origin;10;46566.616075;0.999;218;0.005;0;0.000;2557;0.055;65020654655;1.396;50963214311;0.78;6132977481;131.703;44877906;0.73;22331738752;479.565;18868535;0.08;938041820;20.144;469193730;50.02;46.605987025
o;art-optimal-linkedlist;1;16609.754220;0.998;78;0.005;0;0.000;874;0.053;23185109707;1.396;20680359993;0.89;2435472406;146.629;7734257;0.32;10056782424;605.474;4965454;0.05;267759299;16.121;132700639;49.56;16.637829185
o;art-optimal-linkedlist;2;16608.520472;0.995;62;0.004;0;0.000;875;0.053;23175268727;1.395;20687903936;0.89;2434708683;146.594;7611620;0.31;10053886424;605.345;4919063;0.05;267676135;16.117;133134605;49.74;16.690566398
o;art-optimal-linkedlist;3;16603.168279;0.998;87;0.005;0;0.000;875;0.053;23180286500;1.396;20680772929;0.89;2435995315;146.719;7714187;0.32;10061057857;605.972;4943079;0.05;267928286;16.137;133332361;49.76;16.632308016
o;art-optimal-linkedlist;4;16628.401608;0.998;110;0.007;0;0.000;875;0.053;23176803168;1.394;20675312633;0.89;2435155786;146.446;7736351;0.32;10054943349;604.685;4864503;0.05;267928776;16.113;132834349;49.58;16.666269745
o;art-optimal-linkedlist;5;16602.962499;0.997;98;0.006;0;0.000;873;0.053;23181343130;1.396;20676572931;0.89;2435959346;146.718;7624775;0.31;10058380315;605.818;4969843;0.05;267938965;16.138;133079875;49.67;16.647430005
o;art-optimal-linkedlist;6;16598.463643;0.996;151;0.009;0;0.000;878;0.053;23172390744;1.396;20680226732;0.89;2435603671;146.737;7746456;0.32;10059840110;606.071;4861315;0.05;267975443;16.145;132968465;49.62;16.658681327
o;art-optimal-linkedlist;7;16584.835148;0.998;100;0.006;0;0.000;873;0.053;23151423029;1.396;20678256607;0.89;2435761108;146.867;7632801;0.31;10056958625;606.395;4739683;0.05;267589208;16.135;133274705;49.81;16.616610141
o;art-optimal-linkedlist;8;16614.250727;0.999;79;0.005;0;0.000;876;0.053;23195895562;1.396;20684975926;0.89;2434129406;146.509;7720271;0.32;10057283522;605.341;5063607;0.05;267739460;16.115;132902413;49.64;16.638605328
o;art-optimal-linkedlist;9;16569.534271;0.998;61;0.004;0;0.000;877;0.053;23133646118;1.396;20678860156;0.89;2435778919;147.003;7705696;0.32;10056821683;606.947;4671021;0.05;268135155;16.182;132951877;49.58;16.598584757
o;art-optimal-linkedlist;10;16611.525986;0.999;69;0.004;0;0.000;876;0.053;23191635431;1.396;20689794366;0.89;2434210024;146.537;7637792;0.31;10062646536;605.763;5033635;0.05;267545180;16.106;133078484;49.74;16.636415260
class;ArtOptimal;1;18507.696984;0.994;1705;0.092;0;0.000;8364;0.452;25825376148;1.395;24368729034;0.94;2170734132;117.288;138307753;6.37;6889862668;372.270;61612925;0.89;565283068;30.543;215341364;38.09;18.621810481
class;ArtOptimal;2;17697.635056;0.997;1740;0.098;0;0.000;8051;0.455;24688963393;1.395;21403685799;0.87;2051709819;115.931;146055840;7.12;6946141646;392.490;61879024;0.89;564150924;31.877;215717945;38.24;17.744869249
class;ArtOptimal;3;18431.146357;0.999;1660;0.090;0;0.000;8418;0.457;25653510492;1.392;24262256714;0.95;2160456727;117.218;137077857;6.34;6871338581;372.811;61974868;0.90;561948793;30.489;215216293;38.30;18.451034463
class;ArtOptimal;4;18530.115942;0.998;1747;0.094;0;0.000;7893;0.426;25855604760;1.395;24435137521;0.95;2052628112;110.773;142430492;6.94;6915793642;373.219;63921320;0.92;560862536;30.268;214383697;38.22;18.566723511
class;ArtOptimal;5;18615.005945;0.998;1708;0.092;0;0.000;8168;0.439;25972887340;1.395;24421558756;0.94;2173859317;116.780;136606806;6.28;6983214267;375.139;63405452;0.91;565944751;30.403;215252694;38.03;18.651857803
class;ArtOptimal;6;18415.724329;0.999;1662;0.090;0;0.000;8200;0.445;25697486647;1.395;24279347771;0.94;2165637337;117.597;138272355;6.38;6854188409;372.192;62399887;0.91;560004080;30.409;215950264;38.56;18.433542989
class;ArtOptimal;7;18451.548293;0.996;1695;0.092;0;0.000;7891;0.428;25746856329;1.395;24381149896;0.95;2045769940;110.873;142055265;6.94;6882895750;373.025;61056894;0.89;558317096;30.259;215802331;38.65;18.521859715
class;ArtOptimal;8;17653.150048;0.999;1630;0.092;0;0.000;8003;0.453;24624547305;1.395;21365400392;0.87;2049653821;116.107;144822123;7.07;6933429827;392.759;62630605;0.90;563102946;31.898;214947356;38.17;17.673641175
class;ArtOptimal;9;18609.689536;0.999;1706;0.092;0;0.000;8208;0.441;25967859323;1.395;24455016592;0.94;2182591733;117.283;141360841;6.48;6937710336;372.801;63261253;0.91;562642494;30.234;214830601;38.18;18.633175589
class;ArtOptimal;10;18609.740058;0.996;1717;0.092;0;0.000;7889;0.424;25963323679;1.395;24460355855;0.94;2053342118;110.337;143393040;6.98;6939920006;372.919;63094360;0.91;562478657;30.225;215884053;38.38;18.691637656
js;art-optimal;1;43951.425032;1.000;1192;0.027;0;0.000;12864;0.293;61347971927;1.396;59556961418;0.97;4031828154;91.734;88700677;2.20;24614108428;560.030;29208714;0.12;480935998;10.942;217316670;45.19;43.972015486
js;art-optimal;2;44021.215553;0.999;1236;0.028;0;0.000;13022;0.296;61422409997;1.395;59577732405;0.97;4033171714;91.619;92789938;2.30;24620463681;559.286;29191782;0.12;480355447;10.912;217543397;45.29;44.051514613
js;art-optimal;3;43959.462061;0.999;1220;0.028;0;0.000;12915;0.294;61336024765;1.395;59549546833;0.97;4032212884;91.726;87208131;2.16;24617768692;560.011;28433941;0.12;479354726;10.904;217625223;45.40;43.987962528
js;art-optimal;4;43964.473477;1.000;1208;0.027;0;0.000;12903;0.293;61367146634;1.396;59538127705;0.97;4032986959;91.733;88907063;2.20;24618472300;559.963;28590107;0.12;479605494;10.909;217669037;45.39;43.980454905
js;art-optimal;5;43978.855390;1.000;1181;0.027;0;0.000;12872;0.293;61391444962;1.396;59562165323;0.97;4033219978;91.708;92991473;2.31;24620975996;559.837;28661072;0.12;479415081;10.901;217856684;45.44;43.992061226
js;art-optimal;6;44204.175917;0.999;1259;0.028;0;0.000;12897;0.292;61694592256;1.396;59822847281;0.97;4053814517;91.707;92006964;2.27;24715618470;559.124;29073560;0.12;479305954;10.843;217765172;45.43;44.251651661
js;art-optimal;7;44392.300129;1.000;1188;0.027;0;0.000;13439;0.303;61962743434;1.396;59651021078;0.96;4043251544;91.080;97728036;2.42;24641148342;555.077;29331693;0.12;482075956;10.859;218177895;45.26;44.401002149
js;art-optimal;8;43993.461542;0.999;1222;0.028;0;0.000;12885;0.293;61388752255;1.395;59546469498;0.97;4033700999;91.689;93204483;2.31;24612212764;559.452;28753042;0.12;479713580;10.904;217775383;45.40;44.024350820
js;art-optimal;9;44000.835970;0.999;1253;0.028;0;0.000;12895;0.293;61409344481;1.396;59536588597;0.97;4032966545;91.657;93762242;2.32;24618440714;559.499;28566673;0.12;478421671;10.873;217765358;45.52;44.045798330
js;art-optimal;10;44386.329141;0.999;1266;0.029;0;0.000;13442;0.303;61938622076;1.395;59633659630;0.96;4044963335;91.131;93921323;2.32;24669399844;555.788;29632192;0.12;484275606;10.910;217870937;44.99;44.424650943
